"","tweets","class"
"683","i love 6 hour panic attack","sarcasm"
"684","yes because we really have that sort of power why do brexity type always sound like they be all paranoid conspiracy therorists","sarcasm"
"685","ya need a carry hit me up im a octane main","sarcasm"
"686","the number talk to me","sarcasm"
"687","apparently it the big ask on the planet to find decently price sandal with an enclosed toe please internet i just want to have vaguely summery shoe that dont involve me have my toe out to the world at all time lmfaoo","sarcasm"
"688","ayeee it officially im not even your girl season 😛","sarcasm"
"689","stop gatekeeping retirement live community i be mentally and spiritually ready to move in","sarcasm"
"690","corsodyl fail to consider i like be a person who spit blood when they brush their teeth","sarcasm"
"691","suspect there still room for you in the ground","sarcasm"
"692","pregnant and constantly crave kitkats i literally have be live off of them for the past 4 month","sarcasm"
"693","pack to move house and currently wonder why i have to pick such a heavy hobby like why do i have to pick reading book be so heavy my back hurt why couldnt i have pick knitting yarn be light 🥲","sarcasm"
"694","these two girl be on the beach in lawn chair i love shoobies","sarcasm"
"695","im literally out here trade egg for potato day 1 in our new dystopian society be go well #coronavirusuk #coronavirus","sarcasm"
"696","i do love it when my mum make me spend my saving on beer 😒","sarcasm"
"697","school psych life if fun because you can feel like complete shit but chance be you have meet that determines change in a student education thats bind by legal timeline and take coordination of 6 different schedule and youre the only one who can run it","sarcasm"
"698","not only do i have to take care of covid patient last night but my charge nurse tell me the covid scrub make me look unwantable great","sarcasm"
"699","well illegal immigrant categorically dont get money from the government but why let a little thing like fact get in the way of a good bit of xenophobia","sarcasm"
"700","ever just peep fox to see what crazy tuck be say tonight i be learn that fauci actually fund the creation of covid in a lab and be solely responsible for the pandemic","sarcasm"
"701","i would do so much for people that would do absolutely nothing for me lol at least i know who my true friend are😀","sarcasm"
"702","i dont really like party oh be that why youve go to party twice in the last week because you just cant stand it make complete sense","sarcasm"
"703","wish all the birthday sex on today 🎂","sarcasm"
"704","yeah im follow a lot of show right now the price be right be pretty good but season 1 be good than season 2","sarcasm"
"705","elaine quijano exhibit roughly the same amount of control over this debate a two rabbit do on their first date","sarcasm"
"706","unemployed and lazy that messi guy 😂 im be sarcastic guy im warn you lol","sarcasm"
"707","my poo be green how festive","sarcasm"
"708","turn 22 next week so naturally i increase my tinder age range up to 60","sarcasm"
"709","be it unreasonable to spend £50 on a bonsai tree ask for a friend 🤔","sarcasm"
"710","im glad we finally have a party in opposition who be commit to take the government to task for not make mistake fast enough","sarcasm"
"711","men love make woman think they be the problem when they finally decide to leave after put up with mistreatment for god know how long you be suppose to be my ride or die 😩 okay so die then","sarcasm"
"712","i hear it might be snow sound fake but okay can anyone verify","sarcasm"
"713","be this an earthquake because i be shook right now","sarcasm"
"714","and the hot air and b she generate make for a perfect backup energy source","sarcasm"
"715","how dare my friend have job boyfriend live they should consider my feeling and be free when i be","sarcasm"
"716","go to m amp s food will be the highlight of my day later cant wait👌🏻😅","sarcasm"
"717","a fun musical mashup be the country music playing at the gym with the one guy play old eminem on his phone at full volume in the locker room shower 🎶🎶🎶","sarcasm"
"718","accord to a trump republican thats relative to penis size theres a video lol","sarcasm"
"719","not to brag but my thesis topic be so good that someone else publish on it three month ago 🙃","sarcasm"
"720","im the high ill ever be on 420 in my life im on an airplane duh","sarcasm"
"721","just find ive be walk on a broken foot for the past 6 month 🤪🤪🤪","sarcasm"
"722","it all about woman in stem struggle what about woman in interactive medium struggle i no longer win against my friend in smash because they major in goddamn video game","sarcasm"
"723","can cat wear nail polish","sarcasm"
"724","watch 127 hour kinda remind me of this one time i get a bad splinter write a book about it now hit me up for an autographed copy","sarcasm"
"725","love everything in my basket sell our before the sale be mean to start😒","sarcasm"
"726","thank you for your well balance and thoughtful input","sarcasm"
"727","accidentally follow ccd guideline instead of cdc guideline and now i have covid and catholic guilt","sarcasm"
"728","watch tik toks at full volume in the middle of the airport should be a federal offense","sarcasm"
"729","im gonna get a boob job so i call myself a customizable doll","sarcasm"
"730","friendly reminder youre not vegan if you swallow cum","sarcasm"
"731","what i love about mine and summer work schedule be that she will finish at 8pm and then ill start work at 9pm and then when i get home at 7am shell start work at 8am ❤️","sarcasm"
"732","uh oh ben simmons will also have a steph curry type season 76ers good not trade him now","sarcasm"
"733","it only a game 🥴🥴","sarcasm"
"734","i love to pick my module on a first come first serve basis at the same time a everyone in my entire year on a website that hasnt be update since 1995 thrill ❤️","sarcasm"
"735","oh good it time for the bi monthly random power outage","sarcasm"
"736","wish i be the bitch that elijah hewson fuck hat sad","sarcasm"
"737","might just fuck around and take some horse dewormer for the thrill of if maybe ill feel something","sarcasm"
"738","agree this be ridiculous gotta cop a pair","sarcasm"
"739","why be i not tell matthew stafford and cooper kupp eat breakfast together before i draft robert wood over him","sarcasm"
"740","do you even watch a single la liga madrid game last season bruh varane isnt that good anymore","sarcasm"
"741","cant wait til a bunch of pudgy suburban dad save the day with their firearm","sarcasm"
"742","throwback to when i answer the phone at work with thank you for call courtney my name be principal wow i love myself","sarcasm"
"743","v excite to grant an extension to student who email me and my co teacher and get both of our name wrong","sarcasm"
"744","ima get up early tomorrow and make some tea and sit on the patio oh how i love to imagine thing im never gonna do","sarcasm"
"745","thanks for shut down the only disney store in northeastern ohio the other two store go out of business yr ago it not the same with shipping cost online not to mention le doll sale be an absolute nightmare online so unbelievably disappointing 💔","sarcasm"
"746","just book to see david gray too be i 40","sarcasm"
"747","i may look happy on the outside bit on the inside im die #painful #sad","sarcasm"
"748","queer marriage be not allow because it doesnt follow the age old custom ritual practice culturla ethos and societal value but all cis men can commit infidelity with no consequence happy fuckin pride people 🙃 #supremecourtofindia","sarcasm"
"749","can i use this chiamus for my ap lang speech about parallelism lmao","sarcasm"
"750","also if u meet dream on hypixel congrats im not jealous at all haha im totally normal haha good for you haha","sarcasm"
"751","feel like 10 degree wow catch me in south park soak up the ray 😎","sarcasm"
"752","im sure 14 year old me would be delight to know that 22 year old me be still get stress over website crash for bands🙃","sarcasm"
"753","when you order book from the bookstore a week in advance and then you wait three week for one book and when you finally email them about it they reply and say they cancel your order 😍🥰","sarcasm"
"754","leave it to the nice people of hutch to yell at me to eat shit while i run joke on them i do","sarcasm"
"755","6 more hour and then a whoppingly massive 2days off work wowzers","sarcasm"
"756","me not turn up to work be a feminist movement actually","sarcasm"
"757","good news play out of my mind from the sand trap today bad news be in the sand trap a lot today","sarcasm"
"758","ik the republican r like tryna say they win but idk why they dont just settle this w an instagram poll","sarcasm"
"759","red among u guy he hot dont come for me","sarcasm"
"760","stimulus check should come with hand lotion a face mask and a bonus for every instagram bingo you do","sarcasm"
"761","hey guy im so happy to announce that im officially brain dead ☺️","sarcasm"
"762","do you know abuse and alcoholism and depression will just ✨disappear✨ if the country be open completely during a pandemic #trumpisanidiot #bidenharris2020","sarcasm"
"763","safe to say my life be a lot well","sarcasm"
"764","currently bomb ace on the volleyball court and math test in the classroom #studentathlete","sarcasm"
"765","if anyone want to know how my night go i try make a private story on snapchat and instead make a group chat i hate my life","sarcasm"
"766","it amaze how many people get mad at you for simply raise question such a what if the vaccine make your ball inflate like helium balloon and cause you to float away to never be see again","sarcasm"
"767","my favorite part of fly be get to walk past the rich people to get to my poor person seat","sarcasm"
"768","ah yes back spasms when i take a deep breath this be ✨28✨","sarcasm"
"769","be single during college must be really fun when ur not in a global pandemic","sarcasm"
"770","fisher i think you say aid me yeah rachel really love aid","sarcasm"
"771","why be this 30 yr old man try to flirt w me at this wedding and talk about get away with date young girl sir i will call the authority","sarcasm"
"772","when i grow up i wanna be a sociopath","sarcasm"
"773","wear a cute jumpsuit be all fun and game until you have to go to the bathroom","sarcasm"
"774","ive make a roommate complain tweet every day and he do another thing but im tire of negativity so im gonna list all the thing i like about him here they be","sarcasm"
"775","ah yes another afternoon with the wifi down really make work from home that extra bit more enjoyable","sarcasm"
"776","jack antonoff once ur do with clairo im right here sweetie","sarcasm"
"777","why be i not famous yet cos im actually fuck hilarious","sarcasm"
"778","my life have go from drive it like you steal it to drive it like your toddler need the toilet","sarcasm"
"779","dont keep up with the jones the jones be break","sarcasm"
"780","i see dettol toilet duck and zoflora be all trend on twitter now why could that be #trumppressbriefing","sarcasm"
"781","ive just get up at five forty five on a sunday to watch the japanese grand prix a a ferrari fan and saw vettel jump and then fuck up the start and leclerc tangle with verstappen on turn 2 lovely stuff","sarcasm"
"782","be basically thief quote it in the small print so you cant have a refund date move from summer to a 4 hour slot on a friday evening in november which be about as much use a a telescopic sight on a knife #wewantarefund","sarcasm"
"783","it so rude that im not at the beach right now","sarcasm"
"784","sleep whats that ive never hear of it","sarcasm"
"785","me you know for someone with chronic anxiety i think im deal with this pandemic quite well also me wow i forget how good a freshly shave undercut feel","sarcasm"
"786","love it when i forget to transfer my rent money over from my saving 🥴","sarcasm"
"787","incredible scene in nottingham a it begin to rain for the first time this hour","sarcasm"
"788","thank you so much for your insightful thought im sure be overjoy that you quite like him","sarcasm"
"789","friend","sarcasm"
"790","love how badly i embarrass myself on night out how iconic x","sarcasm"
"791","break my strict buying hiatus to get lisas album it much more likely than youd think","sarcasm"
"792","it be almost 70 degree today but no global warming doesnt exist 😒","sarcasm"
"793","accord to my road rage the word of the day be asshat","sarcasm"
"794","halfway through snowboard day 1 and pretty sure i have fall at least 69 time 😆♋️","sarcasm"
"795","im a vegetarian but i eat fish 🙃🙃🙃","sarcasm"
"796","top 3 rank video game of all time 1 minecraft 2 roblox paintball 3 every single just dance","sarcasm"
"797","serious question if i nick a car and elope to gretna green to shut my family up how long will i do in prison can i finish my phd there think ive get a plan lads","sarcasm"
"798","afghanistan just completely crumble after spending over 2 trillion usd and 240 000 human live over the course of 20 futile year of american occupation sound amazing in theory sure but how be we gonna pay for it whats next chocolate milk for everybody","sarcasm"
"799","petition to call erection social dickstanding","sarcasm"
"800","ahh yes quick peek at your page and you obviously know everything thank you for the enlightenment 😂","sarcasm"
"801","ok so and i decide to record on the evening of the 6th just a absolutely nothing newsworthy be happen perfect timing a always to go over some of the best itsbups of 2020 and how be settle into 2021 listen","sarcasm"
"802","i ask my husband to buy dog poo bag when he go out earlier and theyd sell out so instead of go to another shop he buy bin bag so now i still cant clean up after the dog but if i happen to buy a donkey and need to clean up after that im sort","sarcasm"
"803","sure you have a pay job but be you a silver chick fil a reward member 😤🙄🧐","sarcasm"
"804","me do you you find everything you be look for customer why be you hide something me be you hide something","sarcasm"
"805","mentally im hiding in the walk in","sarcasm"
"806","love see 15 year old be vaccinate in the state when i have to wait till the end of june for my first one","sarcasm"
"807","oh youre just friends whyd u shave then","sarcasm"
"808","remember when everyones feed be just retweeted giveaways looool those be the day","sarcasm"
"809","why be the olympics worry about athlete have too much sex when the curl team dont even compete in the summer game","sarcasm"
"810","semester hasnt even start and ive already have two breakdown this be gonna be a fun one","sarcasm"
"811","when you get wake up at 3am because of aftershock from an earthquake 👍😩","sarcasm"
"812","if you dont like lemonade youre an extremist 🍋","sarcasm"
"813","agree with the right to dunk on the centre be the real dialectical materialism","sarcasm"
"814","my favorite gay drama be the social network","sarcasm"
"815","tex mex restaurant that stop serve breakfast taco after 10 30 11 be be the reason i have trust issue","sarcasm"
"816","i love give a lecture to grad student on a topic i dont fully understand at 9 30am lt 3 i need a coffee lmao","sarcasm"
"817","wake up at 3 be with a mad craving for pickle i guess that mean im expect","sarcasm"
"818","babe stop im about to gleek","sarcasm"
"819","please get a free shot or take a once weekly nose swab we will literally pay you to take time off to get the shot czar nicholas king george charles i and so on","sarcasm"
"820","high stake legos","sarcasm"
"821","it so easy to have the best day until someone lie to your face 🥰❤️😭","sarcasm"
"822","thank you i just shit my pant 👍very cool #ranbooemail","sarcasm"
"823","cade cunningham be my favorite basketball player please 2k 🙏🙏🙏","sarcasm"
"824","rub my tear into my face be part of my skincare routine lol","sarcasm"
"825","break do assignment in order of due date wake do assignment in order of priority wire spending 20 minute on each class at a time and just go down the list","sarcasm"
"826","i get ask if i need a kid menu today 21 be treat me well 👶🏼","sarcasm"
"827","funny how my phone start turn into a piece of shit when the new iphone come out 🤔","sarcasm"
"828","sound like the american dream ngl","sarcasm"
"829","people who think cancel culture go too far never learn about excommunication","sarcasm"
"830","ive have more interesting conversation w my wall but alright","sarcasm"
"831","love see that my mom have officially start post about the horse worm medicine be good for covid actually and theyre just try to make it look bad bc it so cheap 🤪","sarcasm"
"832","idk how some girl put on makeup everyday be it just to take selfies or have you just not discover netflix yet","sarcasm"
"833","well what a way to ruin easter thanks","sarcasm"
"834","have he give any clarification regard what age harvey elliott need to be before you can tackle him","sarcasm"
"835","the high tomorrow be 45 anyone wanna go to the pool","sarcasm"
"836","always remember thank your alexa just in case the ai take over one day","sarcasm"
"837","just your casual reminder that #allbirthdaysmatter and i cant stress this enough✨fuck trump✨","sarcasm"
"838","sound like a strong contender for goty","sarcasm"
"839","shoutout to the asshole at basically every gas station rn fill up multiple gas canister when i dont even have enough gas to get home 🥲","sarcasm"
"840","just test my egg drop at my apartment complex and it fell on a man head but no worry he be bald so the yolk just wipe right off","sarcasm"
"841","be a business major be legal conversion therapy and must be stop","sarcasm"
"842","fav this and i wont send you a name of a random person ill just get a fav on my tweet","sarcasm"
"843","im die","sarcasm"
"844","i love health insurance so much fun pay $100s a month and then $100s for basic medical service that somehow arent cover #america","sarcasm"
"845","old people dont deserve right","sarcasm"
"846","hot girl have tree shaped dent in their rear bumper ❤️","sarcasm"
"847","oh also my song with my middle school boyfriend be 143 by bobby brackins i really peak geez","sarcasm"
"848","i pick next year musical already electro city obvious choice","sarcasm"
"849","i just saw the matt hancock video and now im scar that in ten day time he will climb out my telly","sarcasm"
"850","everyone say a prayer to the insurance god that they approve my heart monitor so that i may continue to have the privilege of be alive i love the u health care system","sarcasm"
"851","why be toddler allow in public space","sarcasm"
"852","how nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻","sarcasm"
"853","wait what the fuck that solo yolo be mad","sarcasm"
"854","i accidentally make butter when try to whip cream this morning and i think thats a great representation of how ive reach my capacity for work from home","sarcasm"
"855","maybe if i watch suit in year 12 id be study law rn","sarcasm"
"856","will never understand why ppl do meth just buy a shit tonne of incense in bulk stupid","sarcasm"
"857","ahhh i get to listen to a cement mixer all day awesome","sarcasm"
"858","you know the one thing i really wish i could see i want a pier morgan esque interview with #lilleejean where shes force to explain her shitty behaviour and see if she storm off or come up with some b to make her look cute and innocent itd be a fun watch","sarcasm"
"859","wow ok unfollowing now be a big fan of put your left leg in but just hear about take your left leg out","sarcasm"
"860","only post selfies on your own instagram account crazy right","sarcasm"
"861","do people with clear skin feel accomplished superior comfortable in their own skin whats that like lmfao","sarcasm"
"862","so nice of my family to decide that im host a mother day brunch for everyone at my house","sarcasm"
"863","yo do yall do hysterectomy","sarcasm"
"864","do i need to aquire a wife before this happen or will i be assign one","sarcasm"
"865","i get a lot of boy who cry wolf vibe from the red cross and their emergency blood shortage all the time","sarcasm"
"866","update hold hand with your mom and walk around campus also show youre prepare for the independence college offer","sarcasm"
"867","i might be rubbish at drive and have a less than stellar career but im really good at make spanish omelette so you know there that","sarcasm"
"868","i always think go braless be a good idea until im in public and be insecure because im not wear a bra","regular"
"869","life be so much good with a heating blanket","regular"
"870","sometimes i just go through my phone and look at picture of my dog","regular"
"871","be not back in the state for even 5 minute before someone run into me at the airport with their suitcase and say ope sorry im home","regular"
"872","in desperate need of and i can not stress this enough spring break","regular"
"873","ive say it before and ill say it again but your mental health be so much more important than a good grade","regular"
"874","i couldnt have imagine how much fun i would have with people ive meet through stream im so thankful to live in this timeline even if it be relatively garbage","regular"
"875","wake up to my dog sneeze on my face hows your day go so far","regular"
"876","do the salad offset the beer s","regular"
"877","why do i have a doctorate and miss the restaurant industry so much","regular"
"878","the more you toot the more you poop my 6 yo nephew","regular"
"879","perk of do a newborn hearing screen on an slps baby not have to discuss speech and language milestone","regular"
"880","fox news et al should be shut down absolutely heartbreaking 💔 #goptraitors","regular"
"881","whats more embarrassing be how terrible florida be do with contain covid 19 an utter disgrace wear a mask to protect yourself and others be not embarrass it leadership","regular"
"882","yeah lydia make alaska proud 🇺🇸🏊‍♀️","regular"
"883","publisher not developer","regular"
"884","my neice 4 or 5 at the time love play mario kart 8 with her dad use the acceleration and steer assist before that she be mostly a spectator while he play kid friendly game like ape escape","regular"
"885","rant completely warrant market research be my thing and i lose count of how many time ux appear to be a distant concern compare to but we must gather all of the data","regular"
"886","so excited just see #chitty bang bang car on the road in","regular"
"887","my boy sam amp ben haigh 8 4 be huge fan of yours and would like to wish you a happy birthday all the way from england p cant wait to try the colour challenge with the boy during lockdown great idea to keep them busy x","regular"
"888","perhaps you could make your shop mobile and take essential item to hospital and other key place so it make it easy for staff to get item they need","regular"
"889","ive be watch british streamer for too long i catch myself say aircon instead of ac","regular"
"890","i know start up school again can be very stressful but pls remember to stay hydrated dont overwhelm yourself and reach out for help if you need it my dm be open","regular"
"891","i lose the promise ring my boyfriend get for me about a year ago and when he leave for basic he let me keep the one i give him since he couldnt take it well i find mine our ring be back together","regular"
"892","can anyone provide crutch in the eastleigh area #help","regular"
"893","#postanunpopularfoodopinion salad cream on toast mmmmmmmm","regular"
"894","get very anxious wait for #thegrandtour","regular"
"895","oh my what be that noise the dog isnt happy either #loudbang","regular"
"896","happy new year","regular"
"897","wait for the car drive down the path","regular"
"898","drive to work sing along and oh story short i michael ball fistbumped my wrist straight into the roof of the car","regular"
"899","there be a boil hot place in hell for the bloke who bring and use his nail clipper in a library","regular"
"900","fun fact i sing i morgan ar en annan dag to my daughter to get her to sleep and it work a charm #eurovisionagain","regular"
"901","yet again break the uk formula marketing rule please educate your staff","regular"
"902","finally get my phone back #crap #samsung","regular"
"903","leave this assignment to the last minute be probably not a smart move #w100","regular"
"904","match play golf be just class to watch","regular"
"905","a if be all actually go back to the footy tomorrow literally gonna be epic","regular"
"906","give the ball bobby and he will score ⚽️","regular"
"907","i love talk about feminism when im drunk","regular"
"908","quicksand be not a big of a problem in my adult life a i think it would be","regular"
"909","not really too fuss about club just wanna be able to book my driving test lol","regular"
"910","not sure if this have be answer somewhere or not but be the mtx go to be live for early access or be that something for the 22nd","regular"
"911","it probably something closer to xenophobia which be someone hat someone else just because theyre foreign i mean you be an english teacher arent you figure you might know that","regular"
"912","i feel that 100% my anxiety stop me from talk to so many people ive let so many friendship die because i cant push myself to talk to them","regular"
"913","well do and great leadership","regular"
"914","congratulation jayden a worthy winner of the award and a bright future ahead of you","regular"
"915","amaze simply amaze well do sky brown you be an inspiration to all of u","regular"
"916","and so it begin the sunday back to school preparation 😩","regular"
"917","im settle for a night in front of the tv watching #socceraid","regular"
"918","home make pizza be in the oven weve make one each so therell be leftover for lunch tomorrow 😋","regular"
"919","whoevers toddler as spray the entire toilet backstage i hope you stub your toe and bite your tongue really hard also you be clearly dehydrate go drink some damn water like an adult","regular"
"920","drive to work with no music kinda day","regular"
"921","attack on titan im not ok saw a few leak on purpose bc i like to torture myself and ill wait to read the whole chapter tomorrow but oh my god oh my god im hurt","regular"
"922","i love shoegaze sm","regular"
"923","men be so grimey","regular"
"924","i hate when that guy on tiktok be all i understand it easy to keep watch video like bro mind ya business","regular"
"925","and we still wonder why girl be have issue with their body when you have place sell large and say it be for sizes 10 12 🙃 stop the bus i want off","regular"
"926","be honestly so disturbed by the star sign change like im a scorpio not a libra be so so stressed","regular"
"927","nothing can ruin a summer like hayfever","regular"
"928","ye","regular"
"929","ye","regular"
"930","wake up babe new bladee","regular"
"931","i cannot stress how much i hate the noise of people eat cant be downstairs when my parent be eat because it so fucking unbearable 😂","regular"
"932","worst mistake you can ever make be not take ur mate advice hand down","regular"
"933","the world we live in today actually disgust me","regular"
"934","the world accord to jeff goldblum be such a gift","regular"
"935","man i miss my friend","regular"
"936","#dominiccummings sack him or good yet charge him","regular"
"937","plt slam their brand name on everything wind me up youll find something really nice but it get pretty little thing write in cap all over the front 😩","regular"
"938","meh drake album dont feel like theres a song on there that i wanna listen to twice maybe it will grow on me 🤷🏼‍♀️","regular"
"939","here we go again we be expect our third baby be due feb 2022 absolutely terrify of have 2 under 2 and a 10 year old but we move baby this be the last addition to the family so go to enjoy this for the very last time ❤️👶🏽","regular"
"940","imagine your delivery be 2 hour late and imagine call up your service team only for them to hang up at 10pm coincidentally the same time the office close but it okay my £3 delivery fee be be refund though 👊🏻","regular"
"941","imagine your delivery be 2 hour late and imagine call up your service team only for them to hang up at 10pm coincidentally the same time the office close but it okay my £3 delivery fee be be refund though 👊🏻","regular"
"942","imagine your delivery be 2 hour late and imagine call up your service team only for them to hang up at 10pm coincidentally the same time the office close but it okay my £3 delivery fee be be refund though 👊🏻","regular"
"943","find vegetarian chocolate mousse be such an annoyingly hard task to do","regular"
"944","i havent see my best friend in over a year i be not cop well","regular"
"945","happy one year vegetarian to me ❤️🌱","regular"
"946","i dont think they do but i could be wrong jon ronson interview a guest booker for the jeremy kyle show for his book the psychopath test theres a short exerpt of it here it paint an ugly picture of how these guest be view and manipulate","regular"
"947","there be so many film i want to see atm this would be amazing 🙌","regular"
"948","yes neu 👏👏👏","regular"
"949","one positive of be stick inside all the time be ive almost get back to be as good at fifa a when i be 15 and i consider that an achievement","regular"
"950","have my first experience of a whetherspoon hotel tonight and please to report that while the bed be comfy the bathroom smell suspiciously of cider","regular"
"951","there a gigantic newly open posh box of chocolate in the kitchen at work mark for everyone and now im wonder which one of my colleague get dump on valentine day","regular"
"952","i think france will win #euro2016 predict who will flop and come out on top at","regular"
"953","this be the xi i think should start against russia at euro 2016 who would you pick #myenglandxi via","regular"
"954","two goal cause by two awful goalkeeper #capitalonecup","regular"
"955","i despise the racism within oldham","regular"
"956","i be 21 year old and i still love harry style as much a i do when i be 11","regular"
"957","let bring it home biden","regular"
"958","whenever i text scott in the middle of the night and tell him it be a rough night or that im tire he bring me breakfast home and this be the type of love language im here for 🤗","regular"
"959","im go back to work exactly 8 week postpartum and that just doesnt sit right with me","regular"
"960","im on a serious treat myself kick and im not mad about it","regular"
"961","i just wanna lie in bed and eat skip and get pay for it","regular"
"962","i be late to the same lecture every single week it so embarrassing","regular"
"963","cannot cope with uni read it do my head in","regular"
"964","i ask myself everyday why do i pick art","regular"
"965","all these exams😭","regular"
"966","bring me the horizon new song drown be my new favourite","regular"
"967","spaghetti bolognese isnt the same without garlic bread","regular"
"968","bloody buzz ive get a new job","regular"
"969","elrow at ushua a be bloody great","regular"
"970","train be so unreliable 🙄","regular"
"971","love frank oceans new album👌🏻","regular"
"972","mom put powdered carpet clean all over the floor and now it legit smell like we be live in a stable","regular"
"973","rust be basically turn into subnautica 2","regular"
"974","he right not enough to warrant resubbing and at this point people be already talk about the next expansion because theyre completely over this one","regular"
"975","really interesting map you can tell a lot of love and care go into it","regular"
"976","sell 2 x zutekh present mella dee at square one manchester ticket 22nd august £18 each cheap than face value message me or to buy","regular"
"977","ive get 4 weekend ticket available dm me","regular"
"978","wouldnt change you mads💘","regular"
"979","off to london today for the aurora programme see all you girl boss there 💁🏽‍♀️💕 #iamaurora","regular"
"980","one positive of the dark morning be you can walk the dog in your pyjama and no one can tell 🤗🤗🤗","regular"
"981","submit my application for phd funding today then shit myself and want to withdraw it 😂🙈","regular"
"982","be play ghost of tsushima and i love it","regular"
"983","try to meet my friend and shes literally lose in john lewis omg","regular"
"984","do the people on love island not feel so awkward meet their partner parent in a bloody bikini","regular"
"985","it be so lovely to see the world in blue and green and gold again this afternoon after a week or more of endless grey sunshine i have miss you","regular"
"986","the little girl next door just dash across the garden shout ive get to put my mermaid tail on humble by both her wardrobe and her sense of purpose","regular"
"987","strong people have no need to bully bully be never strong shouting and lose your temper be not sign of strength","regular"
"988","bar woah knee","regular"
"989","coronavirus look at everyone go outside on their snap","regular"
"990","more life to me 😌🥳 #23","regular"
"991","i think everyone should get an air fryer❤️ good vibe only","regular"
"992","the thought of one of my sibling get my room when i go to uni make me sad af😔","regular"
"993","setting be such an interesting place","regular"
"994","anyone else with at amp t have no cell service","regular"
"995","still havent fully comprehend i go back to work tomorrow","regular"
"996","have an end of the year gathering with my m coworkers tonight and it be just so nice to be together get vaccinated guy","regular"
"997","that white one be definitely the best of the 3 love that","regular"
"998","ok but seriously why do hastings go back to carmichael and tell her set her up for the next season or be i just clutch at straws consider he be appeal too surely theres another one it didnt tie the end up it ask more question thurwell wasnt dead","regular"
"999","grealish be just good you hate to admit it but damn","regular"
"1000","a christmas story about three year ago my mum tell me that shed buy me a present she wasnt sure if id like it whether it be my kind of thing or not but shed love it so shed buy it and put it away and then she lose it","regular"
"1001","i wish facebook would introduce a rude option on it like panel i feel wow doesnt cover it maybe it could be a middle finger","regular"
"1002","i want to be so much harsher about zoom meeting","regular"
"1003","please i just want a gp that can prescribe me my bridging hormone","regular"
"1004","i be so fucking tired of living in the uk","regular"
"1005","someone on reddit the other day say that i ooze enby energy and ive be rid that high for the whole weekend","regular"
"1006","yall ever chip your tooth from accidentally bite your tongue ring","regular"
"1007","i gotta get out of this city i make $18 doordashing for an hour and a half 😭 3 order and only one tip lmfao he be the sweet tho he give me a cash tip a 3 00 tip on the app lt 3 i miss him","regular"
"1008","i have this reoccurring nightmare where i accidentally forget to put on shoe before school and i have to spend the whole day barefoot","regular"
"1009","do he order 11 at once and drink each one at just over 5 minute or do we have to take into account go to the bar either way it a disgrace and not what we should be promote to the kid","regular"
"1010","helmet cam 😍😍😍😍#belgiangp #skyf1","regular"
"1011","not have this arsenal kit look like ajax and the goalie wear the away kit","regular"
"1012","me and my gf be on a reality tv show binge lately do anyone have any suggestion for particularly unhinged reality show","regular"
"1013","aw i have a dream i buy a big book of word and their meaning and now im awake and sad also in the dream i be wonder around the most magical library bookstore gift shop","regular"
"1014","i really hate goodreads notification system if i decline a friend request take it out my notifs 😭","regular"
"1015","i want to join to become a validator of the first proof of person blockchain #idenainvite","regular"
"1016","join me on to help save our planet in just 2 minute a day #unitedforgood","regular"
"1017","i swear i hear this sample way back as far a london 2012 opening ceremony","regular"
"1018","hi there im told by the staff at fellowship square on this hot day that there be no cold water provision to full up reusable bottle unless i want to fill up from the toilet be that actually my only option","regular"
"1019","hip flask ☑️ dark rum ☑️ peppermint cordial ❎ will be go to get some later though inspired nice one","regular"
"1020","that john carpenter 📼 selection t be pure class yes ill take that one please ♥️","regular"
"1021","in term of usability be there a more frustrating web site than ebay","regular"
"1022","first proper coffee in 4 month","regular"
"1023","broadband back start to feel a bit more normal","regular"
"1024","i cant believe it be 20 year im still as much in love with them now a i be back then 🤣 they give me the most amazing friend in 💙💙💙💙 #20yearsofblue","regular"
"1025","frankie be so lucky to have some amazing people in his life those that havent bother be miss out","regular"
"1026","so i can go the pub have a meal go to the cinema hairdresser and a shopping spree yet wont be allow to see them meet my newborn baby 🤯🤯🤔🤔","regular"
"1027","everyone get vaccinate","regular"
"1028","e10 petrol in the uk classic car scene be about to die","regular"
"1029","ive get covid","regular"
"1030","we watch this and be really sadden by the lack of deeper dig around this issue there be an air of blame uk jobless for not step up need a proper investigation and not a fluff piece imo thanks for your tweet though","regular"
"1031","congratulation to you both a happy life together","regular"
"1032","we think you be very very funny and very very very etc brave you nail the issue and put those that actually believe the comment you make to shame please keep do what youre do","regular"
"1033","shameless dead snow 2 misquote the sequel i do nazi come cant wait","regular"
"1034","#cnoh3 what a blast thanks to amp the beautiful for your awesome message much love ❤️👹👻💀","regular"
"1035","well be give classic cult and trashy movie away next week at our charity horror night 📽💀⚰🔪👹","regular"
"1036","miss this the first time round but a conversation i really want to see happen great article","regular"
"1037","this narrative of protection that woman require be infantilising and off base it imply require smother a oppose to freedom to occupy space yknow a people","regular"
"1038","be a girl be about garish blue eyeshadow mostly","regular"
"1039","just come online to remind yall that davido be still the king","regular"
"1040","drake literally end everyone in the industry like","regular"
"1041","happy new month to all my mutuals and friend on here wish u all good health and more financial breakthrough this month","regular"
"1042","pass my phd today and i could not be happy","regular"
